machine_code,day,time,diff,event_limit,event_status,is_maintenance,pressure_2,pressure_2_mean,pressure_2_std,prev_pressure_2,sigma_level
167,20231123,236,-0.15199999511241913,1.944000005722046,1,0,1.9359999895095825,2.0309998989105225,0.04800000041723251,2.0880000591278076,3
167,20231123,759,-0.1289999932050705,1.965999960899353,1,0,1.9570000171661377,2.052000045776367,0.03999999910593033,2.0859999656677246,3
167,20231123,1032,-0.16899999976158142,1.9470000267028809,1,0,1.9429999589920044,2.0260000228881836,0.054999999701976776,2.111999988555908,3
167,20231123,1805,-0.14399999380111694,1.937999963760376,1,0,1.9229999780654907,2.0320000648498535,0.0430000014603138,2.066999912261963,3
167,20231123,1846,-0.14499999582767487,1.972000002861023,1,0,1.9589999914169312,2.0339999198913574,0.04399999976158142,2.1040000915527344,3
167,20231123,1957,-0.1469999998807907,1.9550000429153442,1,0,1.9520000219345093,2.0290000438690186,0.04800000041723251,2.0989999771118164,3
167,20231123,3346,-0.16699999570846558,1.9539999961853027,1,0,1.9249999523162842,2.0220000743865967,0.04600000008940697,2.0920000076293945,3
167,20231123,3612,-0.17599999904632568,1.9359999895095825,1,0,1.9160000085830688,2.0260000228881836,0.052000001072883606,2.0920000076293945,3
167,20231123,5027,-0.14900000393390656,1.9620000123977661,1,0,1.9450000524520874,2.010999917984009,0.04399999976158142,2.0940001010894775,3
167,20231123,5338,-0.16300000250339508,1.9570000171661377,1,0,1.940999984741211,2.007999897003174,0.04899999871850014,2.1040000915527344,3
167,20231123,10242,-0.17599999904632568,1.9539999961853027,1,0,1.934000015258789,2.006999969482422,0.052000001072883606,2.109999895095825,3
167,20231123,11309,-0.16699999570846558,1.9500000476837158,1,0,1.9299999475479126,1.9930000305175781,0.04899999871850014,2.0969998836517334,3
167,20231123,12002,-0.164000004529953,1.9529999494552612,1,0,1.9479999542236328,2.015000104904175,0.05299999937415123,2.111999988555908,3
167,20231123,12436,-0.1889999955892563,1.9550000429153442,1,0,1.9279999732971191,2.010999917984009,0.05400000140070915,2.117000102996826,3
167,20231123,62348,0.03799999877810478,2.0,3,0,2.010999917984009,1.9839999675750732,0.008999999612569809,1.9730000495910645,3
167,20231123,62410,0.04699999839067459,1.9889999628067017,3,0,2.00600004196167,1.9839999675750732,0.009999999776482582,1.9589999914169312,3
167,20231123,62737,-0.09000000357627869,1.9919999837875366,1,0,1.9500000476837158,1.9869999885559082,0.01600000075995922,2.0399999618530273,3
167,20231123,62914,-0.09000000357627869,1.9950000047683716,1,0,1.9859999418258667,1.9889999628067017,0.027000000700354576,2.0759999752044678,3
167,20231123,63026,-0.13600000739097595,1.968000054359436,1,0,1.934000015258789,1.9919999837875366,0.03400000184774399,2.069999933242798,3
167,20231123,63844,0.15700000524520874,2.1019999980926514,3,0,2.1029999256134033,2.009000062942505,0.052000001072883606,1.9459999799728394,3
167,20231123,64337,-0.1589999943971634,1.9479999542236328,1,0,1.9359999895095825,2.00600004196167,0.04899999871850014,2.0950000286102295,3
167,20231123,64441,-0.17000000178813934,1.9570000171661377,1,0,1.934000015258789,2.007999897003174,0.04899999871850014,2.1040000915527344,3
167,20231123,82337,-0.14000000059604645,2.000999927520752,1,0,1.9900000095367432,2.0239999294281006,0.0430000014603138,2.130000114440918,3
167,20231123,83007,-0.1379999965429306,1.9220000505447388,1,0,1.9160000085830688,1.9980000257492065,0.04399999976158142,2.053999900817871,3
167,20231123,83606,-0.1459999978542328,1.937000036239624,1,0,1.9229999780654907,2.009000062942505,0.04399999976158142,2.069000005722046,3
167,20231123,84001,-0.14900000393390656,1.934999942779541,1,0,1.9119999408721924,2.0450000762939453,0.041999999433755875,2.061000108718872,3
167,20231123,84308,-0.16300000250339508,1.9759999513626099,1,0,1.9539999961853027,2.0290000438690186,0.04699999839067459,2.117000102996826,3
167,20231123,84935,-0.15800000727176666,1.9500000476837158,1,0,1.9359999895095825,2.0299999713897705,0.04800000041723251,2.0940001010894775,3
167,20231123,85847,-0.14900000393390656,2.006999969482422,1,0,1.9450000524520874,2.0380001068115234,0.028999999165534973,2.0940001010894775,3
167,20231123,90102,-0.19099999964237213,1.965000033378601,1,0,1.9119999408721924,2.0380001068115234,0.04600000008940697,2.1029999256134033,3
167,20231123,91224,-0.16500000655651093,1.9470000267028809,1,0,1.9320000410079956,2.0,0.05000000074505806,2.0969998836517334,3
167,20231123,91309,-0.1850000023841858,1.9470000267028809,1,0,1.9299999475479126,2.005000114440918,0.0560000017285347,2.115000009536743,3
167,20231123,92544,-0.19200000166893005,1.9520000219345093,1,0,1.9249999523162842,2.0,0.054999999701976776,2.117000102996826,3
167,20231123,93147,-0.16300000250339508,1.9520000219345093,1,0,1.9450000524520874,2.0209999084472656,0.052000001072883606,2.1080000400543213,3
167,20231123,93240,-0.16200000047683716,1.9199999570846558,1,0,1.9140000343322754,2.0230000019073486,0.052000001072883606,2.0759999752044678,3
167,20231123,93318,-0.17599999904632568,1.9160000085830688,1,0,1.9049999713897705,2.0209999084472656,0.054999999701976776,2.0810000896453857,3
167,20231123,93947,-0.16200000047683716,1.934999942779541,1,0,1.9320000410079956,2.0220000743865967,0.05299999937415123,2.0940001010894775,3
167,20231123,94621,-0.15000000596046448,1.9229999780654907,1,0,1.9199999570846558,2.0,0.04899999871850014,2.069999933242798,3
167,20231123,95302,-0.09200000017881393,1.9900000095367432,1,0,1.9819999933242798,1.9730000495910645,0.02800000086426735,2.0739998817443848,3
167,20231123,95910,-0.11900000274181366,1.9700000286102295,1,0,1.9320000410079956,2.00600004196167,0.027000000700354576,2.0510001182556152,3
